book_id,title,author,reading_status,metadata_status,metadata_confidence,matched_title,matched_author,douban_url,isbn,rating,notes
1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,metadata-ready,matched,1.00,有限与无限的游戏,[美] 詹姆斯·卡斯,https://book.douban.com/subject/33438841/,9787121364259,8.1,
2,具身认知：身体如何影响心智,盖伊·克莱斯顿,metadata-ready,matched,0.96,具身认知,[英]盖伊·克莱斯顿,https://book.douban.com/subject/35565578/,9787521734232,6.8,
3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,metadata-ready,matched,0.76,那些古怪又让人忧心的问题又来了,[美] 兰道尔·门罗,https://book.douban.com/subject/36246468/,9787574207653,8.5,
4,国家的视角：那些试图改善人类状况的项目是如何失败的,詹姆斯·C.斯科特,metadata-ready,matched,1.00,国家的视角,詹姆斯・C・斯科特,https://book.douban.com/subject/1190181/,9787801902184,8.3,
5,诚实的信号,[美]阿莱克斯·彭特兰,metadata-ready,matched,1.00,诚实的信号,[美] 阿莱克斯·彭特兰,https://book.douban.com/subject/34942785/,9787553698212,7.6,
6,同步：秩序如何从混沌中涌现,斯蒂芬·斯托加茨,metadata-ready,matched,0.96,同步,[美] 斯蒂芬·斯托加茨,https://book.douban.com/subject/30192338/,9787220106958,7.6,
7,混合信号,尤里·格尼茨,metadata-ready,matched,0.95,混合信号,[美] 尤里·格尼茨,https://book.douban.com/subject/36623489/,9787521756319,7.5,
8,想象的共同体,本尼迪克特·安德森,metadata-ready,matched,1.00,想象的共同体,本尼迪克特·安德森,https://book.douban.com/subject/1315190/,9787208054028,8.8,
9,自我分析与自我实现,卡伦·霍妮,metadata-ready,matched,0.94,自我分析与自我实现,[美]卡伦·霍妮,https://book.douban.com/subject/35329630/,9787201140810,8.9,
10,是我把你蠢哭了吗,迪安·博内特,metadata-ready,matched,0.95,是我把你蠢哭了吗,[英] 迪安·博内特,https://book.douban.com/subject/35198304/,9787533487379,8.0,
11,伊甸之东,[美]约翰·斯坦贝克,metadata-ready,matched,1.00,伊甸之东,[美]约翰·斯坦贝克,https://book.douban.com/subject/36710568/,9787572615931,9.1,
12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,metadata-ready,matched,0.74,咨询的奥秘,Gerald M. Weinberg,https://book.douban.com/subject/25785829/,9787115337481,8.0,
13,为什么：关于因果关系的新科学,[美]朱迪亚·珀尔 [美]达纳·麦肯齐,metadata-ready,matched,1.00,为什么,[美] 朱迪亚·珀尔 / [美] 达纳·麦肯齐,https://book.douban.com/subject/33438811/,9787521705072,8.6,
